,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,100,130.0
1,1,4,0,200,100.0
2,2,4,1,200,105.0
3,3,4,2,200,110.0
4,4,4,2,200,110.0
5,5,4,2,200,110.0
6,6,2,3,100,115.0
7,7,2,2,100,110.0
8,8,2,2,100,110.0
9,9,2,2,100,110.0
10,10,4,1,200,105.0
11,11,4,2,200,110.0
12,12,2,3,100,115.0
13,13,4,1,200,105.0
14,14,4,2,200,110.0
15,15,2,3,100,115.0
16,16,4,1,200,105.0
17,17,4,2,200,110.0
18,18,2,3,100,115.0
19,19,4,1,200,105.0
20,20,4,2,200,110.0
21,21,2,3,100,115.0
22,22,4,1,200,105.0
23,23,4,2,200,110.0
24,24,2,3,100,115.0
25,25,4,1,200,105.0
26,26,4,2,200,110.0
27,27,2,3,100,115.0
28,28,4,1,200,105.0
29,29,4,2,200,110.0
30,30,2,3,100,115.0
31,31,4,1,200,105.0
32,32,4,2,200,110.0
33,33,2,3,100,115.0
34,34,4,1,200,105.0
35,35,4,2,200,110.0
36,36,2,3,100,115.0
37,37,4,1,200,105.0
38,38,4,2,200,110.0
39,39,2,3,100,115.0
40,40,4,1,200,105.0
41,41,4,2,200,110.0
42,42,2,3,100,115.0
43,43,4,1,200,105.0
44,44,4,2,200,110.0
45,45,2,3,100,115.0
46,46,4,1,200,105.0
47,47,4,2,200,110.0
48,48,2,3,100,115.0
49,49,4,1,200,105.0
50,50,4,2,200,110.0
51,51,2,3,100,115.0
52,52,4,1,200,105.0
53,53,4,2,200,110.0
54,54,2,3,100,115.0
55,55,4,1,200,105.0
56,56,4,2,200,110.0
57,57,2,3,100,115.0
58,58,4,1,200,105.0
59,59,4,2,200,110.0
60,60,2,3,100,115.0
61,61,4,1,200,105.0
62,62,4,2,200,110.0
63,63,2,3,100,115.0
64,64,4,1,200,105.0
65,65,4,2,200,110.0
66,66,2,3,100,115.0
67,67,4,1,200,105.0
68,68,4,2,200,110.0
69,69,2,3,100,115.0
70,70,4,1,200,105.0
71,71,4,2,200,110.0
72,72,2,3,100,115.0
73,73,4,1,200,105.0
74,74,4,2,200,110.0
75,75,2,3,100,115.0
76,76,4,1,200,105.0
77,77,4,2,200,110.0
78,78,2,3,100,115.0
79,79,4,1,200,105.0
80,80,4,2,200,110.0
81,81,2,3,100,115.0
82,82,4,1,200,105.0
83,83,4,2,200,110.0
84,84,2,3,100,115.0
85,85,4,1,200,105.0
86,86,4,2,200,110.0
87,87,2,3,100,115.0
88,88,4,1,200,105.0
89,89,4,2,200,110.0
90,90,2,3,100,115.0
91,91,4,1,200,105.0
92,92,4,2,200,110.0
93,93,2,3,100,115.0
94,94,4,1,200,105.0
95,95,4,2,200,110.0
96,96,2,3,100,115.0
97,97,4,1,200,105.0
98,98,4,2,200,110.0
99,99,2,3,100,115.0
