,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,100,130.0
1,1,4,0,200,130.0
2,2,6,0,300,100.0
3,3,6,1,300,105.0
4,4,6,2,300,110.0
5,5,6,2,300,110.0
6,6,4,3,200,115.0
7,7,4,2,200,110.0
8,8,6,1,300,105.0
9,9,4,3,200,115.0
10,10,4,2,200,110.0
11,11,6,1,300,105.0
12,12,4,3,200,115.0
13,13,4,2,200,110.0
14,14,6,1,300,105.0
15,15,4,3,200,115.0
16,16,4,2,200,110.0
17,17,6,1,300,105.0
18,18,4,3,200,115.0
19,19,4,2,200,110.0
20,20,6,1,300,105.0
21,21,4,3,200,115.0
22,22,4,2,200,110.0
23,23,6,1,300,105.0
24,24,4,3,200,115.0
25,25,4,2,200,110.0
26,26,6,1,300,105.0
27,27,4,3,200,115.0
28,28,4,2,200,110.0
29,29,6,1,300,105.0
30,30,4,3,200,115.0
31,31,4,2,200,110.0
32,32,6,1,300,105.0
33,33,4,3,200,115.0
34,34,4,2,200,110.0
35,35,6,1,300,105.0
36,36,4,3,200,115.0
37,37,4,2,200,110.0
38,38,6,1,300,105.0
39,39,4,3,200,115.0
40,40,4,2,200,110.0
41,41,6,1,300,105.0
42,42,4,3,200,115.0
43,43,4,2,200,110.0
44,44,6,1,300,105.0
45,45,4,3,200,115.0
46,46,4,2,200,110.0
47,47,6,1,300,105.0
48,48,4,3,200,115.0
49,49,4,2,200,110.0
50,50,6,1,300,105.0
51,51,4,3,200,115.0
52,52,4,2,200,110.0
53,53,6,1,300,105.0
54,54,4,3,200,115.0
55,55,4,2,200,110.0
56,56,6,1,300,105.0
57,57,4,3,200,115.0
58,58,4,2,200,110.0
59,59,6,1,300,105.0
60,60,4,3,200,115.0
61,61,4,2,200,110.0
62,62,6,1,300,105.0
63,63,4,3,200,115.0
64,64,4,2,200,110.0
65,65,6,1,300,105.0
66,66,4,3,200,115.0
67,67,4,2,200,110.0
68,68,6,1,300,105.0
69,69,4,3,200,115.0
70,70,4,2,200,110.0
71,71,6,1,300,105.0
72,72,4,3,200,115.0
73,73,4,2,200,110.0
74,74,6,1,300,105.0
75,75,4,3,200,115.0
76,76,4,2,200,110.0
77,77,6,1,300,105.0
78,78,4,3,200,115.0
79,79,4,2,200,110.0
80,80,6,1,300,105.0
81,81,4,3,200,115.0
82,82,4,2,200,110.0
83,83,6,1,300,105.0
84,84,4,3,200,115.0
85,85,4,2,200,110.0
86,86,6,1,300,105.0
87,87,4,3,200,115.0
88,88,4,2,200,110.0
89,89,6,1,300,105.0
90,90,4,3,200,115.0
91,91,4,2,200,110.0
92,92,6,1,300,105.0
93,93,4,3,200,115.0
94,94,4,2,200,110.0
95,95,6,1,300,105.0
96,96,4,3,200,115.0
97,97,4,2,200,110.0
98,98,6,1,300,105.0
99,99,4,3,200,115.0
