,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,100,130.0
1,1,4,0,200,100.0
2,2,4,1,200,105.0
3,3,4,2,200,110.0
4,4,2,3,100,115.0
5,5,2,2,100,110.0
6,6,4,1,200,105.0
7,7,2,3,100,115.0
8,8,2,2,100,110.0
9,9,4,1,200,105.0
10,10,2,3,100,115.0
11,11,2,2,100,110.0
12,12,4,1,200,105.0
13,13,2,3,100,115.0
14,14,2,2,100,110.0
15,15,4,1,200,105.0
16,16,2,3,100,115.0
17,17,2,2,100,110.0
18,18,4,1,200,105.0
19,19,2,3,100,115.0
20,20,2,2,100,110.0
21,21,4,1,200,105.0
22,22,2,3,100,115.0
23,23,2,2,100,110.0
24,24,4,1,200,105.0
25,25,2,3,100,115.0
26,26,2,2,100,110.0
27,27,4,1,200,105.0
28,28,2,3,100,115.0
29,29,2,2,100,110.0
30,30,4,1,200,105.0
31,31,2,3,100,115.0
32,32,2,2,100,110.0
33,33,4,1,200,105.0
34,34,2,3,100,115.0
35,35,2,2,100,110.0
36,36,4,1,200,105.0
37,37,2,3,100,115.0
38,38,2,2,100,110.0
39,39,4,1,200,105.0
40,40,2,3,100,115.0
41,41,2,2,100,110.0
42,42,4,1,200,105.0
43,43,2,3,100,115.0
44,44,2,2,100,110.0
45,45,4,1,200,105.0
46,46,2,3,100,115.0
47,47,2,2,100,110.0
48,48,4,1,200,105.0
49,49,2,3,100,115.0
50,50,2,2,100,110.0
51,51,4,1,200,105.0
52,52,2,3,100,115.0
53,53,2,2,100,110.0
54,54,4,1,200,105.0
55,55,2,3,100,115.0
56,56,2,2,100,110.0
57,57,4,1,200,105.0
58,58,2,3,100,115.0
59,59,2,2,100,110.0
60,60,2,2,100,110.0
61,61,4,1,200,105.0
62,62,2,3,100,115.0
63,63,2,2,100,110.0
64,64,4,1,200,105.0
65,65,2,3,100,115.0
66,66,2,2,100,110.0
67,67,4,1,200,105.0
68,68,2,3,100,115.0
69,69,2,2,100,110.0
70,70,4,1,200,105.0
71,71,2,3,100,115.0
72,72,2,2,100,110.0
73,73,4,1,200,105.0
74,74,2,3,100,115.0
75,75,2,2,100,110.0
76,76,4,1,200,105.0
77,77,2,3,100,115.0
78,78,2,2,100,110.0
79,79,4,1,200,105.0
80,80,2,3,100,115.0
81,81,2,2,100,110.0
82,82,4,1,200,105.0
83,83,2,3,100,115.0
84,84,2,2,100,110.0
85,85,4,1,200,105.0
86,86,2,3,100,115.0
87,87,2,2,100,110.0
88,88,4,1,200,105.0
89,89,2,3,100,115.0
90,90,2,2,100,110.0
91,91,4,1,200,105.0
92,92,2,3,100,115.0
93,93,2,2,100,110.0
94,94,4,1,200,105.0
95,95,2,3,100,115.0
96,96,2,2,100,110.0
97,97,4,1,200,105.0
98,98,2,3,100,115.0
99,99,2,2,100,110.0
